rg_id,rg_title,imdb_id,primary_type
cfc7581a-385e-3933-93b7-432f16873cf3,Titanic: Music From the Motion Picture,tt0120338,Album
b93a7c47-a6d4-33f2-9034-53fdd991f4ba,Purple Rain,tt0087957,Album
b82c36b9-36ca-38c0-8aad-571c8eb12bfc,The Mask of Zorro,tt0120746,Album
e0a773f2-fbbe-3c36-8f94-cde12c7bd70e,"The Commitments, Volume 2",tt0101605,Album
8b695696-3154-3613-9469-69f716cde39c,A Beautiful Mind: Original Motion Picture Soundtrack,tt0268978,Album
6d2ba1ab-fc0c-341b-99d0-c33eba4a08e9,Tarzan: An Original Walt Disney Records Soundtrack,tt0120855,Album
c04afbce-1d0f-31a6-9c11-36c5f90e7d4a,Amarcord,tt0071129,Album
ef49d775-aa9b-3104-90a0-6f84834aee64,Imagine: John Lennon: Music From the Motion Picture,tt0095360,Album
06ff0002-c2b0-356f-93d9-cefdef98d1af,The Prince of Egypt: Music From the Original Motion Picture Soundtrack,tt0120794,Album
db403c1f-584d-32a4-9857-c37998dc9efa,Batman Forever: Music From the Motion Picture,tt0112462,Album
72294208-4850-3ae4-8205-af27d4a17fe0,Requiem for a Dream,tt0180093,Album
dc431d45-d2c7-3458-8538-dfadc48f20df,Dragon: The Bruce Lee Story,tt0106770,Album
b2e4a0ee-2795-38d6-bf5c-f9e2851208ca,The City of Lost Children,tt0112682,Album
70472f2d-445f-33fc-9e29-6933e95c8c54,Heaven & Earth,tt0107096,Album
6d1a8775-9814-393d-91ca-e6fc46945eb1,The Fifth Element: Original Motion Picture Soundtrack,tt0119116,Album
8454f6e1-d6f8-3f97-b4c0-4ba1c98164d5,The Ninth Gate,tt0142688,Album
75f376ca-5094-3ec4-902c-82e0f5cb6514,Dekalog,tt0092337,Album
c6d815eb-4da9-304e-be80-1fd3ed59f1fc,Tortilla Soup,tt0255653,Album
71818081-4518-3606-bca7-0ae809e85e37,La Double Vie de Véronique,tt0101765,Album
6f96a654-6138-3baf-8812-c85e98fa7e43,What Dreams May Come,tt0120889,Album
4003e87a-b583-37de-b5ea-6e0d7a1dad8f,How High: The Soundtrack,tt0278488,Album
b0d0fc64-11f8-36d3-89bc-e4327c5a6fba,Office Space: Motion Picture Soundtrack,tt0151804,Album
0262bf30-d867-364a-9184-ae79f0da359c,The Jazz Singer,tt0080948,Album
5527bac8-3774-3140-8913-31f01b41e7da,More Music From Braveheart,tt0112573,Album
2b1be2b2-12d1-3805-8745-39fa6eb6ab14,Tin Cup,tt0117918,Album
060d28f8-2298-3ba7-83b5-7e3ce73850b9,Y tu mamá también,tt0245574,Album
914c63e9-ac09-39ca-b1bf-94008c664ded,Reservoir Dogs: Music From the Original Motion Picture Soundtrack,tt0105236,Album
61f0cee5-3cc4-3742-9780-5a30cb57b314,Desejos de mulher,tt0290350,Album
4e528bb3-91b0-367d-9a14-707287a60dc7,Notting Hill: Music From the Motion Picture,tt0125439,Album
87f89c60-e9a3-325c-b0ad-7bbab3596cda,Good Will Hunting: Music From the Miramax Motion Picture,tt0119217,Album
342e53b3-99e9-3d34-9648-4de1b863629c,Conan the Barbarian,tt0082198,Album
455f56d1-5258-36c2-ba84-921a6fa4fcda,Jurassic Park: Music From the Original Motion Picture Soundtrack,tt0107290,Album
77123a3c-72d8-3584-8e0e-1c99059c1c8e,Music From The Body,tt0199369,Album
4389e7f9-a575-3876-96a7-b08f9dcb4d92,Desperado: The Soundtrack,tt0112851,Album
4794e659-90c0-3948-bf76-43303335018d,The Lord of the Rings,tt0077869,Album
dfe8f83b-191d-37ff-a09f-698bd75a9bc5,Ghost Dog: The Way of the Samurai,tt0165798,Album
4fc99c56-164b-3940-b5d1-4a40c635bf0c,Powaqqatsi,tt0095895,Album
94723b8d-f815-3683-bd5f-fc6b1d80591a,Basic Instinct,tt0103772,Album
3421a253-65c4-3bdd-9d27-60147b7fda50,The Wash: The Original Motion Picture Soundtrack,tt0290332,Album
676c253c-bf4c-38e3-9b66-c55327c841e8,The Graduate: The Original Sound Track Recording,tt0061722,Album
5c4978b9-3bcf-3cb0-bd72-009dc9556f34,Enemy at the Gates,tt0215750,Album
3d478f36-7a5e-33b5-91ea-2847c6609808,The Thin Red Line,tt0120863,Album
9c80717d-43e0-3219-b8c8-019f5d83cf60,Singles: Original Motion Picture Soundtrack,tt0105415,Album
64c8dfcf-5aea-38f9-9f21-ad4af310a301,Dances With Wolves: Original Motion Picture Soundtrack,tt0099348,Album
be4626e0-cbfd-3832-ad30-47be34bd1b3e,Mortal Kombat: Annihilation: Original Motion Picture Soundtrack,tt0119707,Album
03331848-c231-3f92-86fc-4934838c9230,The X‐Files: Songs in the Key of X,tt0106179,Album
